"filename", "language", "JSON", "Markdown", "JavaScript", "Handlebars", "SCSS", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\userGroups.hbs", "Handlebars", 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\userInsert.hbs", "Handlebars", 0, 0, 0, 37, 0, 0, 8, 45
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\userPosts.hbs", "Handlebars", 0, 0, 0, 14, 0, 0, 0, 14
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\userTopics.hbs", "Handlebars", 0, 0, 0, 10, 0, 0, 0, 10
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\userUpdate.hbs", "Handlebars", 0, 0, 0, 36, 0, 0, 6, 42
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\routes\group.js", "JavaScript", 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\routes\home.js", "JavaScript", 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\routes\index.js", "JavaScript", 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\routes\post.js", "JavaScript", 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\routes\topic.js", "JavaScript", 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\routes\user.js", "JavaScript", 0, 0, 19, 0, 0, 0, 3, 22
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\server.js", "JavaScript", 0, 0, 22, 0, 0, 3, 5, 30
"Total", "-", 3812, 2, 1116, 537, 47, 23, 191, 5728
